id,title,synopsis,genres,release_date,episodes,members,popularity,ranked,score,img_url,link,,,,,,,,,
33489,Little Witch Academia (TV),A believing heart is your magic!—these were the words that Atsuko Akko Kagari's idol the renowned witch Shiny Chariot said to her during a magic performance years ago. Since then Akko has lived by these words and aspired to be a witch just like Shiny Chariot one that can make people smile. Hence even her non-magical background does not stop her from enrolling in Luna Nova Magical Academy. However when an excited Akko finally sets off to her new school the trip there is anything but smooth. After her perilous journey she befriends the shy Lotte Yansson and the sarcastic Sucy Manbavaran. To her utmost delight she also discovers Chariot's wand the Shiny Rod which she takes as her own. Unfortunately her time at Luna Nova will prove to more challenging than Akko could ever believe. She absolutely refuses to stay inferior to the rest of her peers especially to her self-proclaimed rival the beautiful and gifted Diana Cavendish so she relies on her determination to compensate for her reckless behavior and ineptitude in magic. In a time when wizardry is on the decline Little Witch Academia follows the magical escapades of Akko and her friends as they learn the true meaning of being a witch.,Adventure,Comedy,Fantasy,Magic,School,2017-01-09,25,340616,283,534,8.03,https://cdn.myanimelist.net/images/anime/13/83934.jpg,https://myanimelist.net/anime/33489/Little_Witch_Academia_TV,,,,,
934,Higurashi no Naku Koro ni,Keiichi Maebara has just moved to the quiet little village of Hinamizawa in the summer of 1983 and quickly becomes inseparable friends with schoolmates Rena Ryuuguu Mion Sonozaki Satoko Houjou and Rika Furude. However darkness lurks underneath the seemingly idyllic life they lead. As the village prepares for its annual festival Keiichi learns about the local legends surrounding it. To his horror he discovers that there have been several murders and disappearances in the village in the recent years and that they all seem to be connected to the festival and the village's patron god Oyashiro. Keiichi tries to ask his new friends about these incidents but they are suspiciously silent and refuse to give him the answers he needs. As more and more bizarre events occur he wonders just what else his friends might be keeping from him and if he can even trust them at all. When madness and paranoia begin taking root in Keiichi's heart he will stumble straight into the mysteries at work in Higurashi no Naku Koro ni  a story that is told across multiple arcs.,Mystery,Dementia,Horror,Psychological,Supernatural,Thriller,2006-04-05,26,530024,118,519,8.04,https://cdn.myanimelist.net/images/anime/12/19634.jpg,https://myanimelist.net/anime/934/Higurashi_no_Naku_Koro_ni,,,,
29803,Overlord,The final hour of the popular virtual reality game Yggdrasil has come. However Momonga a powerful wizard and master of the dark guild Ainz Ooal Gown decides to spend his last few moments in the game as the servers begin to shut down. To his surprise despite the clock having struck midnight Momonga is still fully conscious as his character and moreover the non-player characters appear to have developed personalities of their own! Confronted with this abnormal situation Momonga commands his loyal servants to help him investigate and take control of this new world with the hopes of figuring out what has caused this development and if there may be others in the same predicament.,Action,Adventure,Fantasy,Game,Magic,Supernatural,2015-07-07,13,742933,65,515,8.05,https://cdn.myanimelist.net/images/anime/7/88019.jpg,https://myanimelist.net/anime/29803/Overlord,,,,
17265,Log Horizon,In the blink of an eye thirty thousand bewildered Japanese gamers are whisked from their everyday lives into the world of the popular MMORPG Elder Tale after the game's latest update—unable to log out. Among them is the socially awkward college student Shiroe whose confusion and shock lasts only a moment as a veteran of the game he immediately sets out to explore the limits of his new reality. Shiroe must learn to live in this new world leading others and negotiating with the NPC natives in order to bring stability to the virtual city of Akihabara. He is joined by his unfortunate friend Naotsugu having logged in for the first time in years only to find himself trapped and Akatsuki a petite but fierce assassin who labels Shiroe as her master. A tale of fantasy adventure and politics Log Horizon explores the elements of gaming through the eyes of a master strategist who attempts to make the best of a puzzling situation.,Action,Game,Adventure,Magic,Fantasy,2013-10-05,25,695241,69,513,8.05,https://cdn.myanimelist.net/images/anime/5/84004.jpg,https://myanimelist.net/anime/17265/Log_Horizon,,,,,
14075,Zetsuen no Tempest,Yoshino Takigawa an ordinary teenager is secretly dating his best friend Mahiro's younger sister. But when his girlfriend Aika mysteriously dies Mahiro disappears vowing to find the one responsible and make them pay for murdering his beloved sister. Yoshino continues his life as usual and has not heard from Mahiro in a month—until he is confronted by a strange girl who holds him at gunpoint and his best friend arrives in the nick of time to save him. Yoshino learns that Mahiro has enlisted the help of a witch named Hakaze Kusaribe to find Aika's killer and of the existence of an entity known as the Tree of Exodus. The witch's brother selfishly desires to make use of its power in spite of the impending peril to the world. However Hakaze is banished to a deserted island and it is now up to Yoshino and Mahiro to help her save the world while inching ever closer to the truth behind Aika's death.,Action,Mystery,Psychological,Drama,Magic,Fantasy,Shounen,2012-10-05,24,411231,198,508,8.06,https://cdn.myanimelist.net/images/anime/7/42453.jpg,https://myanimelist.net/anime/14075/Zetsuen_no_Tempest,,,
5682,Phantom: Requiem for the Phantom,Mafia is rife in America where assassinations are a regular occurrence on the streets. Inferno a mysterious company is behind most of these dealings through the use of their near-invincible human weapon Phantom. One day a Japanese tourist accidentally witnesses Phantom's latest murder. Desperate to escape the tourist hides in a secluded building. However Phantom revealed to be a young woman named Ein and the leader of Inferno Scythe Master captures the tourist and brainwashes him. Given the name Zwei this once peaceful tourist is now a puppet of Inferno with no memories. Drawn into a world of lies deceit and violence Zwei must fight to survive hopefully to one day regain his memories and escape from this world where he is constantly on the brink of death.,Action,Drama,Seinen,Thriller,2009-04-03,26,235408,436,504,8.06,https://cdn.myanimelist.net/images/anime/8/22470.jpg,https://myanimelist.net/anime/5682/Phantom__Requiem_for_the_Phantom,,,,,,
1530,Kanon (2006),As a young child Aizawa Yuuichi had often visited his cousin in the city however something drastic happened to keep him away for seven long years. Now Yuuichi returns his memories of those days are simply gone. Settling into the wintry town Yuuichi comes across several young girls all of whom are connected to his past. As he befriends them and continues to interact with them the long forgotten memories from his childhood begin to resurface...,Slice of Life,Supernatural,Drama,Romance,2006-10-06,24,211156,508,498,8.06,https://cdn.myanimelist.net/images/anime/4/56301.jpg,https://myanimelist.net/anime/1530/Kanon_2006,,,,,,
227,FLCL,Naota Nandaba is an ordinary sixth grader living in a city where nothing amazing ever seems to happen. After his brother Tasuku leaves town to play baseball in America Naota takes it upon himself to look after everything Tasuku left behind—from his top bunk bed to his ex-girlfriend Mamimi Samejima who hasn't stopped clinging to Naota since Tasuku left. Little does Naota know however that his mundane existence is on the verge of being changed forever: enter Haruko Haruhara a Vespa-riding bass guitar-wielding pink-haired psychopath whose first encounter with Naota leaves him with tire tracks on his back and a giant horn on his head. Though all he wants is some peace and quiet when Haruko takes up residence at his parents' home Naota finds himself dragged into the heart of the greatest battle for supremacy that Earth—and quite possibly the entire universe—has ever seen.,Action,Sci-Fi,Comedy,Parody,Dementia,Psychological,Mecha,2000-04-26,6,498692,134,493,8.06,https://cdn.myanimelist.net/images/anime/7/77356.jpg,https://myanimelist.net/anime/227/FLCL,,,
32995,Yuri!!! on Ice,Reeling from his crushing defeat at the Grand Prix Finale Yuuri Katsuki once Japan's most promising figure skater returns to his family home to assess his options for the future. At age 23 Yuuri's window for success in skating is closing rapidly and his love of pork cutlets and aptitude for gaining weight are not helping either. However Yuuri finds himself in the spotlight when a video of him performing a routine previously executed by five-time world champion Victor Nikiforov suddenly goes viral. In fact Victor himself abruptly appears at Yuuri's house and offers to be his mentor. As one of his biggest fans Yuuri eagerly accepts kicking off his journey to make it back onto the world stage. But the competition is fierce as the rising star from Russia Yuri Plisetsky is relentlessly determined to defeat Yuuri and win back Victor's tutelage.,Comedy,Sports,2016-10-06,12,383651,230,488,8.07,https://cdn.myanimelist.net/images/anime/6/81149.jpg,https://myanimelist.net/anime/32995/Yuri_on_Ice,,,,,,,,
33926,Quanzhi Gaoshou,Widely regarded as a trailblazer and top-tier professional player in the online multiplayer game Glory Ye Xiu is dubbed the Battle God for his skills and contributions to the game over the years. However when forced to retire from the team and to leave his gaming career behind he finds work at a nearby internet café. There when Glory launches its tenth server he throws himself into the game once more using a new character named Lord Grim. Ye Xiu's early achievements on the new server immediately catch the attention of many players as well as the big guilds leaving them to wonder about the identity of this exceptional player. However while he possesses ten years of experience and in-depth knowledge starting afresh with neither sponsors nor a team in a game that has changed over the years presents numerous challenges. Along with talented new comrades Ye Xiu once again dedicates himself to traversing the path to Glory's summit!,Action,Game,2017-04-07,12,212909,507,485,8.07,https://cdn.myanimelist.net/images/anime/7/81892.jpg,https://myanimelist.net/anime/33926/Quanzhi_Gaoshou,,,,,,,,
23289,Gekkan Shoujo Nozaki-kun,Chiyo Sakura is a cheerful high school girl who has fallen head over heels for the oblivious Umetarou Nozaki. Much to Chiyo's confusion when she confesses to her beloved Nozaki he hands her an unfamiliar autograph. As it turns out the stoic teenage boy is actually a respected shoujo mangaka publishing under the pen name Sakiko Yumeno! A series of misunderstandings leads to Chiyo becoming one of Nozaki's manga assistants. Throughout the hilarious events that ensue she befriends many of her quirky schoolmates including her seemingly shameless fellow assistant Mikoto Mikoshiba and the Prince of the School Yuu Kashima. Gekkan Shoujo Nozaki-kun follows Chiyo as she strives to help Nozaki with his manga and hopes that he will eventually notice her feelings.,Comedy,Romance,School,2014-07-07,12,519868,123,467,8.08,https://cdn.myanimelist.net/images/anime/5/66083.jpg,https://myanimelist.net/anime/23289/Gekkan_Shoujo_Nozaki-kun,,,,,,,
6045,Kimi ni Todoke,Kuronuma Sawako is completely misunderstood by her classmates. Her timid and sweet demeanor is often mistaken for malicious behavior. This is due to her resemblance to the ghost girl from The Ring which has led her peers to give her the nickname Sadako. Longing to make friends and live a normal life she is naturally drawn to Kazehaya Shouta the most popular guy in class whose 100% refreshing personality earns him great admiration from Sawako. So when Kazehaya starts talking to her maybe there is hope for the friendships Sawako has always longed for. Maybe... there is even a little hope for some romance in her future.,Slice of Life,Drama,Romance,School,Shoujo,2009-10-07,25,511507,127,458,8.09,https://cdn.myanimelist.net/images/anime/7/17890.jpg,https://myanimelist.net/anime/6045/Kimi_ni_Todoke,,,,,
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Hachiman Hikigaya is an apathetic high school student with narcissistic and semi-nihilistic tendencies. He firmly believes that joyful youth is nothing but a farce and everyone who says otherwise is just lying to themselves. In a novel punishment for writing an essay mocking modern social relationships Hachiman's teacher forces him to join the Volunteer Service Club a club that aims to extend a helping hand to any student who seeks their support in achieving their goals. With the only other club member being the beautiful ice queen Yukino Yukinoshita Hachiman finds himself on the front line of other people's problems—a place he never dreamed he would be. As Hachiman and Yukino use their wits to solve many students' problems will Hachiman's rotten view of society prove to be a hindrance or a tool he can use to his advantage?,Slice of Life,Comedy,Drama,Romance,School,2013-04-05,13,683483,74,453,8.1,https://cdn.myanimelist.net/images/anime/11/49459.jpg,https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,,,,,
32615,Youjo Senki,Tanya Degurechaff is a young soldier infamous for predatorial-like ruthlessness and an uncanny tactical aptitude earning her the nickname of the Devil of the Rhine. Underneath her innocuous appearance however lies the soul of a man who challenged Being X the self-proclaimed God to a battle of wits—which resulted in him being reincarnated as a little girl into a world of magical warfare. Hellbent on defiance Tanya resolves to ascend the ranks of her country's military as it slowly plunges into world war with only Being X proving to be the strongest obstacle in recreating the peaceful life she once knew. But her perceptive actions and combat initiative have an unintended side effect: propelling the mighty Empire into becoming one of the most powerful nations in mankind's history.,Action,Military,Magic,2017-01-06,12,419060,192,454,8.1,https://cdn.myanimelist.net/images/anime/5/82890.jpg,https://myanimelist.net/anime/32615/Youjo_Senki,,,,,,,
35790,Tate no Yuusha no Nariagari,The Four Cardinal Heroes are a group of ordinary men from modern-day Japan summoned to the kingdom of Melromarc to become its saviors. Melromarc is a country plagued by the Waves of Catastrophe that have repeatedly ravaged the land and brought disaster to its citizens for centuries. The four heroes are respectively bestowed a sword spear bow and shield to vanquish these Waves. Naofumi Iwatani an otaku becomes cursed with the fate of being the Shield Hero. Armed with only a measly shield Naofumi is belittled and ridiculed by his fellow heroes and the kingdom's people due to his weak offensive capabilities and lackluster personality. When the heroes are provided with resources and comrades to train with Naofumi sets out with the only person willing to train alongside him Malty Melromarc. He is soon betrayed by her however and becomes falsely accused of taking advantage of her. Naofumi then becomes heavily discriminated against and hated by the people of Melromarc for something he didn't do. With a raging storm of hurt and mistrust in his heart Naofumi begins his journey of strengthening himself and his reputation. Further along however the difficulty of being on his own sets in so Naofumi buys a demi-human slave on the verge of death named Raphtalia to accompany him on his travels. As the Waves approach the kingdom Naofumi and Raphtalia must fight for the survival of the kingdom and protect the people of Melromarc from their ill-fated future.,Action,Adventure,Drama,Fantasy,2019-01-09,25,517005,128,451,8.1,https://cdn.myanimelist.net/images/anime/1490/101365.jpg,https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari,,,,,,
30015,ReLIFE,Dismissed as a hopeless loser by those around him 27-year-old Arata Kaizaki bounces around from one job to another after quitting his first company. His unremarkable existence takes a sharp turn when he meets Ryou Yoake a member of the ReLife Research Institute who offers Arata the opportunity to change his life for the better with the help of a mysterious pill. Taking it without a second thought Arata awakens the next day to find that his appearance has reverted to that of a 17-year-old. Arata soon learns that he is now the subject of a unique experiment and must attend high school as a transfer student for one year. Though he initially believes it will be a cinch due to his superior life experience Arata is proven horribly wrong on his first day: he flunks all his tests is completely out of shape and can't keep up with the new school policies that have cropped up in the last 10 years. Furthermore Ryou has been assigned to observe him bringing Arata endless annoyance. ReLIFE follows Arata's struggle to adjust to his hectic new lifestyle and avoid repeating his past mistakes all while slowly discovering more about his fellow classmates.,Slice of Life,Romance,School,2016-07-02,13,533921,116,447,8.1,https://cdn.myanimelist.net/images/anime/3/82149.jpg,https://myanimelist.net/anime/30015/ReLIFE,,,,,,,
889,Black Lagoon,Within Thailand is Roanapur a depraved crime-ridden city where not even the authorities or churches are untouched by the claws of corruption. A haven for convicts and degenerates alike the city is notorious for being the center of illegal activities and operations often fueled by local crime syndicates. Enter Rokurou Okajima an average Japanese businessman who has been living a dull and monotonous life when he finally gets his chance for a change of pace with a delivery trip to Southeast Asia. His business trip swiftly goes downhill as Rokurou is captured by a mercenary group operating in Roanapur called Black Lagoon. The group plans to use him as a bargaining chip in negotiations which ultimately failed. Now abandoned and betrayed by his former employer Rokurou decides to join Black Lagoon. In order to survive he must quickly adapt to his new environment and prepare himself for the bloodshed and tribulation to come. A non-stop high-octane thriller Black Lagoon delves into the depths of human morality and virtue. Witness Rokurou struggling to keep his values and philosophies intact as he slowly transforms from businessman to ruthless mercenary.,Action,Seinen,2006-04-09,12,553392,111,440,8.1,https://cdn.myanimelist.net/images/anime/4/25596.jpg,https://myanimelist.net/anime/889/Black_Lagoon,,,,,,,,
2034,Lovely★Complex,Love is unusual for Koizumi Risa and Ootani Atsushi who are both striving to find their ideal partner in high school—172 cm tall Koizumi is much taller than the average girl and Ootani is much shorter than the average guy at 156 cm. To add to their plights their crushes fall in love with each other leaving Koizumi and Ootani comically flustered and heartbroken. To make matters worse they're even labeled as a comedy duo by their homeroom teacher due to their personalities and the stark difference in their heights and their classmates even think of their arguments as sketches. Lovely★Complex follows Koizumi and Ootani as they encourage each other in finding love and become close friends. Apart from their ridiculous antics they soon find out an unexpected similarity in their music and fashion tastes. Maybe they possess a chemistry yet unknown but could love ever bloom between the mismatched pair?,Comedy,Romance,Shoujo,2007-04-07,24,356826,259,415,8.13,https://cdn.myanimelist.net/images/anime/11/75563.jpg,https://myanimelist.net/anime/2034/Lovely%E2%98%85Complex,,,,,,,
